# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:P'
# Event count (approx.): 943792262
#
# Overhead  Command  Shared Object         Symbol
# ........  .......  ....................  .....................................................................................................................................................................................................................................................................................................................................................
#
     0.09%  a.out    [kernel.kallsyms]     [k] __irqentry_text_start
     0.09%  a.out    libasan.so.8.0.0      [.] __interceptor_strcmp@plt
     0.09%  a.out    [kernel.kallsyms]     [k] filemap_get_read_batch
     0.09%  a.out    libasan.so.8.0.0      [.] __asan::AsanThread::stack_top()
     0.09%  a.out    [kernel.kallsyms]     [k] __count_memcg_events
     0.09%  a.out    [kernel.kallsyms]     [k] mem_cgroup_commit_charge
     0.09%  a.out    libasan.so.8.0.0      [.] __asan::AsanTSDGet()
     0.09%  a.out    libasan.so.8.0.0      [.] __sanitizer::RunFreeHooks(void*)
     0.09%  a.out    [kernel.kallsyms]     [k] down_read_trylock
     0.09%  a.out    [kernel.kallsyms]     [k] exc_page_fault
     0.09%  a.out    [kernel.kallsyms]     [k] try_charge_memcg
     0.09%  a.out    libasan.so.8.0.0      [.] __sanitizer::internal_allocator()
     0.09%  a.out    [kernel.kallsyms]     [k] __pte_offset_map_lock
     0.09%  a.out    [kernel.kallsyms]     [k] lru_gen_add_folio
     0.09%  a.out    [kernel.kallsyms]     [k] native_write_msr
     0.09%  a.out    [kernel.kallsyms]     [k] folio_lruvec_lock_irqsave
     0.09%  a.out    [kernel.kallsyms]     [k] __es_tree_search.isra.0
     0.09%  a.out    [kernel.kallsyms]     [k] folio_add_lru_vma
     0.09%  a.out    libasan.so.8.0.0      [.] __asan::asan_free(void*, __sanitizer::BufferedStackTrace*, __asan::AllocType)
     0.09%  a.out    libasan.so.8.0.0      [.] __sanitizer::SizeClassAllocator64<__asan::AP64<__sanitizer::LocalAddressSpaceView> >::PopulateFreeArray(__sanitizer::AllocatorStats*, unsigned long, __sanitizer::SizeClassAllocator64<__asan::AP64<__sanitizer::LocalAddressSpaceView> >::RegionInfo*, unsigned long)
     0.09%  a.out    [kernel.kallsyms]     [k] clockevents_program_event
     0.09%  a.out    [kernel.kallsyms]     [k] rmqueue_bulk
     0.09%  a.out    [kernel.kallsyms]     [k] pud_val
     0.09%  a.out    [kernel.kallsyms]     [k] kvm_sched_clock_read
     0.09%  a.out    [kernel.kallsyms]     [k] __rcu_read_unlock
     0.09%  a.out    [kernel.kallsyms]     [k] pte_alloc_one
     0.09%  a.out    [kernel.kallsyms]     [k] do_wp_page
     0.09%  a.out    [kernel.kallsyms]     [k] __memcg_slab_free_hook
     0.09%  a.out    [kernel.kallsyms]     [k] put_cpu_partial
     0.09%  a.out    ld-linux-x86-64.so.2  [.] _dl_lookup_symbol_x
     0.09%  a.out    [kernel.kallsyms]     [k] mas_wr_modify
     0.09%  a.out    [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.09%  a.out    [kernel.kallsyms]     [k] refill_obj_stock
     0.09%  a.out    libasan.so.8.0.0      [.] __sanitizer_malloc_hook@plt
     0.09%  a.out    [kernel.kallsyms]     [k] do_vmi_align_munmap
     0.09%  a.out    [kernel.kallsyms]     [k] ext4_fill_raw_inode
     0.09%  a.out    [kernel.kallsyms]     [k] ttwu_queue_wakelist
     0.09%  a.out    [kernel.kallsyms]     [k] arch_exit_to_user_mode_prepare.isra.0
     0.09%  a.out    libasan.so.8.0.0      [.] __asan::GetCurrentThread()
     0.09%  a.out    [kernel.kallsyms]     [k] folio_add_new_anon_rmap
     0.09%  a.out    [kernel.kallsyms]     [k] post_alloc_hook
     0.09%  a.out    [kernel.kallsyms]     [k] xas_start
     0.09%  a.out    [kernel.kallsyms]     [k] error_entry
     0.09%  a.out    [kernel.kallsyms]     [k] pte_offset_map_nolock
     0.09%  a.out    [kernel.kallsyms]     [k] pvclock_clocksource_read_nowd
     0.09%  a.out    [kernel.kallsyms]     [k] generic_perform_write
     0.09%  a.out    [kernel.kallsyms]     [k] filemap_map_pages
     0.09%  a.out    [kernel.kallsyms]     [k] prepend_path
     0.09%  a.out    libasan.so.8.0.0      [.] __sanitizer_weak_hook_strcmp@plt
     0.09%  a.out    [kernel.kallsyms]     [k] __folio_start_writeback
     0.09%  a.out    [kernel.kallsyms]     [k] lru_add_fn
     0.09%  a.out    [kernel.kallsyms]     [k] __mod_memcg_lruvec_state
     0.09%  a.out    [kernel.kallsyms]     [k] mark_buffer_dirty
     0.09%  a.out    [kernel.kallsyms]     [k] vfs_write
     0.09%  a.out    libasan.so.8.0.0      [.] __lsan::CollectLeaksCb(unsigned long, void*)
     0.09%  a.out    [kernel.kallsyms]     [k] memset_orig
     0.08%  a.out    libasan.so.8.0.0      [.] __interceptor___tls_get_addr@plt
     0.08%  a.out    libc.so.6             [.] __strchrnul_avx2
     0.08%  a.out    libasan.so.8.0.0      [.] maybe_parse_length_modifier(char const*, char*)
     0.08%  a.out    libasan.so.8.0.0      [.] ioctl_init()
     0.08%  a.out    [kernel.kallsyms]     [k] mod_objcg_state
     0.08%  a.out    ld-linux-x86-64.so.2  [.] __tls_get_addr
     0.08%  a.out    [kernel.kallsyms]     [k] __mod_zone_page_state
     0.08%  a.out    libasan.so.8.0.0      [.] __lsan::MarkIndirectlyLeakedCb(unsigned long, void*)
     0.08%  a.out    libc.so.6             [.] __printf_buffer_to_file_switch
     0.08%  a.out    [kernel.kallsyms]     [k] get_pfnblock_flags_mask
     0.08%  a.out    [kernel.kallsyms]     [k] lock_vma_under_rcu
